cell,t,x_canon,x_phantom,separation,drift_canon,drift_phantom,rms_canon,rms_phantom,peak_amplitude,confined_frac,min_chi
pair_pm,12.0,36.02400026069122,28.085491099174916,7.938509161516301,0.022282638171304825,0.08325280056689266,5.196905711984807,5.625003376620809,0.04082808861654279,0.29788237420692426,0.9791858049662776
pair_pm,16.0,36.05826787877263,28.16345514406128,7.894812734711351,0.05655025625272003,0.1612168454532572,5.564238095822511,5.812110725382691,0.040773073899746715,0.2919638897445288,0.9700793846384467
pair_pm,20.0,36.13632542356383,28.29800353304296,7.838321890520874,0.13460780104392,0.29576523443493485,6.002057838189315,6.130246542202951,0.041168292399523576,0.29266512585729637,0.9569505257491261
pair_pm,24.0,36.27770558008553,28.48779013188586,7.789915448199672,0.27598795756561856,0.48555183327783524,6.6116992212431365,6.61883080827934,0.041153764321873995,0.2881326335541014,0.9404839859886623
pair_pm,28.0,36.47617539427205,28.77213096336523,7.704044430906819,0.4744577717521352,0.7698926647572044,7.435821233400283,7.136546749840342,0.04150909520138882,0.2862677546929877,0.920747661675708
pair_pm,32.0,36.720756177299855,29.193831500148182,7.526924677151673,0.7190385547799423,1.191593201540158,8.350044744854532,7.7030741257240285,0.04176930037226803,0.2861760380226195,0.8974920301486851
pair_pm,36.0,37.01908362798841,29.769603714305838,7.2494799136825705,1.0173660054684959,1.7673654156978138,9.265453843848436,8.274971606433164,0.042182380649325044,0.28971911157377883,0.8700614367962269
pair_pm,40.0,37.3847092113101,30.518929178020283,6.86578003328982,1.3829915887901905,2.516690879412259,10.074574716668863,8.712732403442567,0.04278980420286602,0.2962162172729148,0.8372951752824905
pair_pm,44.0,37.80829752731674,31.47949930369061,6.32879822362613,1.806579904796827,3.4772610050825854,10.647662197007705,8.98236111097941,0.043849192107996815,0.3155634963346622,0.7978032588902252
pair_pm,48.0,38.26910552170381,32.6910359512426,5.57806957046121,2.2673878991838947,4.688797652634573,11.012779265463807,9.135820869949681,0.045263279667796585,0.3491615940335632,0.7454342052554088
pair_pm,52.0,38.71870150041831,34.14177524172978,4.57692625868853,2.7169838778984,6.139536943121758,11.208263566847258,9.257087979532995,0.04720073331913201,0.4070090349695223,0.6771690505716493
pair_pm,56.0,39.10106875675228,35.795683651598765,3.305385105153512,3.0993511342323643,7.793445352990741,11.311821432771458,9.543056338518909,0.04980387155704367,0.5036359950225295,0.5811155141975157
pair_pm,60.0,39.349741076495526,37.56360693238902,1.786134144106505,3.348023453975614,9.561368633780997,11.5385348407893,10.29791908532304,0.05480709242441072,0.6335046684853607,0.44110497915773345
pair_pp,0.0,31.99957732495827,,,0.0,,6.437167095124279,,0.03840762617292963,0.3165857671210313,0.9812735133765451
pair_pp,4.0,31.989338629883036,,,-0.010238695075234006,,6.332469603639881,,0.03303378045556976,0.31319790221658367,0.9899943570105975
pair_pp,8.0,31.987832946990068,,,-0.011744377968202713,,6.4815448638835,,0.02584505861427105,0.22885495607288578,0.9615268119680835
pair_pp,12.0,31.97468003288279,,,-0.024897292075479527,,7.432460126485021,,0.02312443829826799,0.1732533819059056,0.9502439980883649
pair_pp,16.0,31.956518915127333,,,-0.04305840983093745,,8.448786996578784,,0.02086712624427765,0.1541996535971634,0.946539815472615
pair_pp,20.0,31.93962809121626,,,-0.05994923374201022,,10.322504040954332,,0.029271002037525258,0.19874900474915805,0.9440130999191096
pair_pp,24.0,31.925571112151886,,,-0.07400621280638475,,12.643062967737086,,0.027659282338019932,0.1858791770045328,0.9339716210129188
pair_pp,28.0,31.9244792384053,,,-0.07509808655296979,,14.659488690238888,,0.02357386297314714,0.13043341385596816,0.9244754992513992
pair_pp,32.0,31.931634466352012,,,-0.06794285860625848,,16.482626885337513,,0.02192124401600507,0.0980360276820984,0.9045641366961586
pair_pp,36.0,31.913181378077883,,,-0.08639594688038699,,19.419339425772385,,0.02190926313968432,0.09200442636653285,0.8790870164271325
pair_pp,40.0,31.927543045973653,,,-0.07203427898461712,,22.217986091906283,,0.02629861552395104,0.10531851339626329,0.8532370109197497
pair_pp,44.0,31.94983396560209,,,-0.04974335935618157,,24.218724999616594,,0.032794837943717646,0.0973951743434432,0.8016841758587051
pair_pp,48.0,32.00492819454109,,,0.005350869582816387,,25.100252779345826,,0.023736191307547744,0.0925034409302647,0.7482659641300948
pair_pp,52.0,32.071313925808724,,,0.07173660085045341,,25.636222205022076,,0.02574455264672957,0.09216622461968012,0.6817382157290539
pair_pp,56.0,32.121415118400726,,,0.12183779344245593,,26.428982700852096,,0.02471950596944072,0.10026106957948445,0.5800204166692298
pair_pp,60.0,32.156494135271,,,0.15691681031272608,,27.168849176166013,,0.029748561299176055,0.10595954441860567,0.4400174384562928
pair_mm,0.0,,32.00042112931195,,,0.0,,6.743142367517635,0.05623461713449975,0.2837809737721341,1.0000000050154152
pair_mm,4.0,,32.00136756250274,,,0.0009464331907906853,,7.017607328091041,0.04232528535343308,0.13112286499155223,1.0009846795033694
pair_mm,8.0,,32.00033917268166,,,-8.19566302894259e-05,,8.154600787056832,0.036180763344231495,0.11563025772052393,1.0013582768831526
pair_mm,12.0,,32.00311980288371,,,0.0026986735717571264,,9.941322756298169,0.029620903655776243,0.08984720684222801,1.0015296870450032
pair_mm,16.0,,32.00515431723877,,,0.004733187926817095,,11.973697924022883,0.029408345049813912,0.08938396158677253,1.0016379158303954
pair_mm,20.0,,32.0031078046756,,,0.0026866753636483054,,14.50797461860034,0.06329233902788628,0.0855744577119801,1.0017286798737879
pair_mm,24.0,,32.001737897515746,,,0.0013167682037931172,,17.011818497099668,0.051825635179673896,0.08228744322467788,1.0018078266616237
pair_mm,28.0,,32.003739668047245,,,0.003318538735292975,,19.181758479057173,0.034074088623309066,0.05399183253279048,1.0013705545782183
pair_mm,32.0,,32.00343675202919,,,0.0030156227172355443,,21.217778027475944,0.03163109557658223,0.04498382650597954,1.0008894768094987
pair_mm,36.0,,32.00192942482814,,,0.0015082955161886957,,23.59547796327687,0.030730639189281365,0.037478135851688764,1.0013147563880687
pair_mm,40.0,,31.997054317867107,,,-0.003366811444845297,,25.472695082819236,0.0305087175950717,0.03602627033940954,1.0014290721951224
pair_mm,44.0,,31.98468618894805,,,-0.01573494036390244,,26.689647162826983,0.03944862661151706,0.04298233061188704,1.0029033472921656
pair_mm,48.0,,31.975936263352317,,,-0.024484865959635727,,27.800138901589317,0.044416799900377196,0.04613682333713663,0.9985230556153156
pair_mm,52.0,,31.98389804890059,,,-0.016523080411364077,,28.304478171657706,0.04155624142267571,0.046504758361731346,0.9950859166221813
