cell,stage,time,L2_Ham,L2_Mom,Linf_Ham,note
convA_pm_n256,evolution,15,1.066689e-03,1.194722e-04,1.877695e-02,
convA_pm_n256,evolution,30,2.477148e-03,1.506826e-04,5.540117e-02,
convA_pm_n256,evolution,45,4.064880e-03,2.430195e-04,1.755358e-01,
convA_pm_n256,evolution,60,6.909062e-03,7.462789e-04,8.371265e-01,
convA_pp_n128,evolution,0,5.857843e-03,2.109279e-04,1.242122e-01,
convA_pp_n128,evolution,15,6.844028e-04,1.142827e-04,1.583161e-02,
convA_pp_n128,evolution,30,2.083649e-03,3.543975e-04,3.448171e-02,
convA_pp_n128,evolution,45,3.518468e-03,4.305553e-04,1.098667e-01,
convA_pp_n128,evolution,60,6.568235e-03,1.011543e-03,4.690364e-01,
convA_pp_n192,evolution,0,1.096339e-02,2.293131e-04,1.318811e-01,
convA_pp_n192,evolution,15,6.593812e-04,1.132760e-04,1.444109e-02,
convA_pp_n192,evolution,30,2.202939e-03,3.516037e-04,3.583641e-02,
convA_pp_n192,evolution,45,3.537731e-03,4.368945e-04,1.093585e-01,
convA_pp_n192,evolution,60,6.471873e-03,9.645259e-04,4.456431e-01,
convA_pp_n256,evolution,0,1.649659e-02,3.247215e-04,1.346235e-01,
convA_pp_n256,evolution,15,6.222170e-04,1.054541e-04,1.072586e-02,
convA_pp_n256,evolution,30,2.241295e-03,3.429406e-04,3.305978e-02,
convA_pp_n256,evolution,45,3.343048e-03,4.178518e-04,9.454019e-02,
convA_pp_n256,evolution,60,6.145330e-03,8.474357e-04,3.714996e-01,
convA_pm,ladder_ratio,0,0.3457,,0.2107,coarse n128 / fine n256
convA_pm,ladder_ratio,15,0.9952,,0.9971,coarse n128 / fine n256
convA_pm,ladder_ratio,30,0.9975,,0.9921,coarse n128 / fine n256
convA_pm,ladder_ratio,45,0.9960,,0.9738,coarse n128 / fine n256
convA_pm,ladder_ratio,60,1.0110,,0.9955,coarse n128 / fine n256
convA_pm_eqm,ladder_ratio,0,0.3548,,0.4218,coarse n128 / fine n256
convA_pm_eqm,ladder_ratio,15,0.9952,,0.9989,coarse n128 / fine n256
convA_pm_eqm,ladder_ratio,30,0.9975,,0.9959,coarse n128 / fine n256
convA_pm_eqm,ladder_ratio,45,0.9960,,0.9813,coarse n128 / fine n256
convA_pm_eqm,ladder_ratio,60,1.0104,,0.9699,coarse n128 / fine n256
convA_pp,ladder_ratio,0,0.3551,,0.9227,coarse n128 / fine n256
convA_pp,ladder_ratio,15,1.0999,,1.4760,coarse n128 / fine n256
convA_pp,ladder_ratio,30,0.9297,,1.0430,coarse n128 / fine n256
convA_pp,ladder_ratio,45,1.0525,,1.1621,coarse n128 / fine n256
convA_pp,ladder_ratio,60,1.0688,,1.2625,coarse n128 / fine n256
