cell,u,radius,r_psi4
convA_pm_eqm_n256,20.0,16.0,1.443501e-02
convA_pm_eqm_n256,25.0,8.0,3.899239e-02
convA_pm_eqm_n256,25.0,16.0,2.023532e-02
convA_pm_eqm_n256,30.0,8.0,6.217493e-02
convA_pm_eqm_n256,30.0,16.0,2.723169e-02
convA_pm_eqm_n256,35.0,8.0,9.376372e-02
convA_pm_eqm_n256,35.0,16.0,3.518535e-02
convA_pm_eqm_n256,40.0,8.0,1.341497e-01
convA_pm_eqm_n256,40.0,16.0,4.339554e-02
convA_pm_n128,5.0,8.0,2.045495e-03
convA_pm_n128,5.0,16.0,3.660097e-03
convA_pm_n128,10.0,8.0,5.664616e-03
convA_pm_n128,10.0,16.0,6.378523e-03
convA_pm_n128,15.0,8.0,1.223474e-02
convA_pm_n128,15.0,16.0,1.036865e-02
convA_pm_n128,20.0,8.0,2.276102e-02
convA_pm_n128,20.0,16.0,1.534569e-02
convA_pm_n128,25.0,8.0,3.889303e-02
convA_pm_n128,25.0,16.0,2.163781e-02
convA_pm_n128,30.0,8.0,6.202241e-02
convA_pm_n128,30.0,16.0,2.901405e-02
convA_pm_n128,35.0,8.0,9.286214e-02
convA_pm_n128,35.0,16.0,3.737303e-02
convA_pm_n128,40.0,8.0,1.312897e-01
convA_pm_n128,40.0,16.0,4.652209e-02
convA_pm_n192,5.0,8.0,2.180715e-03
convA_pm_n192,5.0,16.0,3.694162e-03
convA_pm_n192,10.0,8.0,5.764476e-03
convA_pm_n192,10.0,16.0,6.377096e-03
convA_pm_n192,15.0,8.0,1.229478e-02
convA_pm_n192,15.0,16.0,1.036048e-02
convA_pm_n192,20.0,8.0,2.279874e-02
convA_pm_n192,20.0,16.0,1.532702e-02
convA_pm_n192,25.0,8.0,3.886910e-02
convA_pm_n192,25.0,16.0,2.155869e-02
convA_pm_n192,30.0,8.0,6.196674e-02
convA_pm_n192,30.0,16.0,2.891993e-02
convA_pm_n192,35.0,8.0,9.289672e-02
convA_pm_n192,35.0,16.0,3.724685e-02
