   0.3250000    9.9882887037e-01    1.0000000000e-08    4.7478286706e-01    1.9531250000e-02    1.9531250000e-02    3.9062500000e-03    2.8002663622e-01   -7.5517087241e+00    6.7658234671e-03   -4.1591230024e-01    3.6315798088e-01   -6.7492609398e-02    3.5294967521e-02
   0.3300000    9.9885163923e-01    1.0000000000e-08    4.7121180053e-01    1.9531250000e-02    1.9531250000e-02    3.9062500000e-03    2.8067976046e-01   -7.6870724883e+00    6.7658234671e-03   -4.1573073497e-01    3.5952453556e-01   -6.8171049747e-02    3.5870757977e-02
   0.3350000    9.9888051260e-01    1.0000000000e-08    4.6742128830e-01    1.9531250000e-02    1.9531250000e-02    3.9062500000e-03    2.8133136844e-01   -7.8296456365e+00    6.7658234671e-03   -4.1554337405e-01    3.6315803439e-01   -6.8814507714e-02    3.6452973412e-02
   0.3400000    9.9891593249e-01    1.0000000000e-08    4.6337124670e-01    1.9531250000e-02    1.9531250000e-02    3.9062500000e-03    2.8198147068e-01   -7.9796912146e+00    6.7658234671e-03   -4.1534992673e-01    3.6315806486e-01   -6.9473247397e-02    3.7041878712e-02
   0.3450000    9.9895838018e-01    1.0000000000e-08    4.5906403511e-01    1.9531250000e-02    1.9531250000e-02    3.9062500000e-03    2.8219783861e-01   -8.1374888035e+00    6.7658234671e-03   -4.1515008716e-01    3.6315809523e-01   -7.0173072067e-02    3.7637633096e-02
   0.3500000    9.9900838130e-01    1.0000000000e-08    4.5450197037e-01    1.9531250000e-02    1.9531250000e-02    3.9062500000e-03    2.8284594933e-01   -8.3033356808e+00    6.7658234671e-03   -4.1494353330e-01    3.5590254029e-01   -7.0836964673e-02    3.8240300422e-02
   0.3550000    9.9906651132e-01    1.0000000000e-08    4.4968727808e-01    1.9531250000e-02    1.9531250000e-02    3.9062500000e-03    2.8370779387e-01   -8.4775480799e+00    6.7658234671e-03   -4.1472992560e-01    3.5590248237e-01   -7.1462647580e-02    3.8850008799e-02
   0.3600000    9.9909504765e-01    1.0000000000e-08    4.4462207144e-01    1.5625000000e-02    1.5625000000e-02    3.9062500000e-03    2.8413773584e-01   -8.6604625669e+00    6.7658234671e-03   -4.1450890576e-01    3.5884477737e-01   -7.2047807518e-02    3.9466928013e-02
   0.3650000    9.9910172898e-01    1.0000000000e-08    4.3934814495e-01    1.5625000000e-02    1.5625000000e-02    3.9062500000e-03    2.8520975525e-01   -8.8524375568e+00    6.7658234671e-03   -4.1428009523e-01    3.5884185763e-01   -7.2671635631e-02    4.0091156118e-02
   0.3700000    9.9911108474e-01    1.0000000000e-08    4.3385035114e-01    1.5625000000e-02    1.5625000000e-02    3.9062500000e-03    2.8585103713e-01   -9.0538549992e+00    6.7658234671e-03   -4.1404309380e-01    3.5884186311e-01   -7.3328869254e-02    4.0722807831e-02
