# time  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)  Re_m-2(R=24)  Im_m-2(R=24)  Re_m-1(R=24)  Im_m-1(R=24)  Re_m0(R=24)  Im_m0(R=24)  Re_m1(R=24)  Im_m1(R=24)  Re_m2(R=24)  Im_m2(R=24)  Re_m-2(R=32)  Im_m-2(R=32)  Re_m-1(R=32)  Im_m-1(R=32)  Re_m0(R=32)  Im_m0(R=32)  Re_m1(R=32)  Im_m1(R=32)  Re_m2(R=32)  Im_m2(R=32)  Re_m-2(R=40)  Im_m-2(R=40)  Re_m-1(R=40)  Im_m-1(R=40)  Re_m0(R=40)  Im_m0(R=40)  Re_m1(R=40)  Im_m1(R=40)  Re_m2(R=40)  Im_m2(R=40)
5.0799999999998498e+01  1.1930628844703146e-03  -7.5400836649305496e-06  -5.1281183041981189e-06  -1.9182408149656014e-05  -9.5423802632317817e-04  -9.5297202886920805e-07  7.7466499121090067e-06  -4.9971813004241349e-05  1.1648756486875647e-03  6.7849119631032257e-06  2.5438810621216780e-03  -1.4884665037826012e-05  -1.2980454451366656e-05  -2.3708924877668803e-04  -2.2474998588594428e-03  -4.1343270029499024e-06  1.3960933557195712e-05  1.6446122621701755e-04  2.9398764442073273e-03  1.1741454298066266e-05  1.8578301744196129e-03  8.4319073152066947e-06  7.7024911708460321e-06  -1.2353903227209308e-04  -1.5639072084090333e-03  8.1132382892670296e-07  -8.7844174567861320e-06  4.1892069113675000e-05  1.9964482607430852e-03  -7.8500059118332392e-06  -6.0916021378814775e-04  4.7728203923175820e-06  -1.9698091581040721e-05  1.6454980037307117e-03  1.7436611369866825e-03  9.0088490348057048e-05  3.7902487804613276e-05  -1.4142647857679242e-03  -3.7013146803912223e-03  3.6940306037316422e-05
5.1199999999998397e+01  1.0267811832025712e-03  -8.4886849903320756e-06  -6.2654121646259038e-06  -5.6455213271405453e-05  -8.4520261326990575e-04  -5.5319242160274863e-07  9.0484336821865900e-06  -1.2598498602277728e-05  1.0740338978578504e-03  8.0536295057638010e-06  2.1387272105143178e-03  -1.7499855624700489e-05  -1.6755139808639293e-05  -3.1416827780469074e-04  -1.9985214791494350e-03  -3.3773903059395611e-06  1.5727398873109238e-05  2.9637923678109662e-04  2.7452558768772447e-03  1.4903025245010014e-05  1.4840902718765369e-03  1.1609857575469022e-05  1.0479239681723808e-05  -2.7289733564099159e-04  -1.3725563222720416e-03  2.2101193169192861e-06  -1.1917717035998276e-05  2.0916169584779177e-04  1.9446624244793679e-03  -9.8378291065083066e-06  -6.6720020643373183e-04  6.2926943482488710e-05  4.2610337334346844e-05  1.4178582005438044e-03  1.7371015783748714e-03  8.4018571784458832e-05  -6.9117400296493461e-06  -1.5398612105196295e-03  -3.6768221785920337e-03  -1.6277895802860628e-05
5.1599999999998303e+01  7.3828611653051375e-04  -9.3584207977486552e-06  -7.1416616404836765e-06  -8.0029140934072669e-05  -6.2631757548375119e-04  -2.7319948350229659e-07  1.0380493878526553e-05  1.3748426584008234e-05  8.3694772344706419e-04  9.1322672846339467e-06  1.6629865042344337e-03  -2.2744690783065411e-05  -2.3071566500849455e-05  -3.1422555085017191e-04  -1.6235824077267509e-03  -1.8372483747452669e-06  2.0962952518632589e-05  3.3910826844793182e-04  2.3143263063861723e-03  2.1294406523466138e-05  9.0042481206881588e-04  1.2925767558730177e-05  1.1828000297118723e-05  -3.5656836580898584e-04  -9.7213206842570944e-04  2.7066124892977418e-06  -1.3212936346099534e-05  3.2561075448615470e-04  1.5735715184741748e-03  -1.0661441526408744e-05  -6.7725218769914804e-04  9.5991314670923429e-05  8.6096728215104249e-05  1.1382284450599945e-03  1.6266098644142665e-03  5.5837675028556504e-05  -4.8437919153108921e-05  -1.5239872146550191e-03  -3.3939441108605090e-03  -5.6590032621154698e-05
5.1999999999998202e+01  3.8723479737646339e-04  -9.9251962989941365e-06  -7.5762260171614498e-06  -8.5268541950773522e-05  -3.4456495119083823e-04  -2.5543905342745456e-07  1.1194238771331716e-05  2.6050042497093043e-05  5.0462163973814464e-04  9.6940032073282110e-06  1.2608080819366996e-03  -2.8795038282897283e-05  -2.9844628005081248e-05  -2.5141247000253197e-04  -1.2473657068412690e-03  5.4661686340501077e-07  2.8067475588603737e-05  2.9174062433131697e-04  1.8034376193349013e-03  2.9185127365777490e-05  3.1390313039169010e-04  1.1284753735160012e-05  1.0965024924652282e-05  -3.5058202591927248e-04  -5.0892741069992811e-04  1.2935483042635601e-06  -1.2028428870782916e-05  3.5178817721290544e-04  1.0221747621109224e-03  -1.0025766124382137e-05  -5.9654896977042707e-04  1.0909977573424285e-04  1.1254059545257188e-04  8.5638664405453680e-04  1.4004393710932623e-03  1.8801484528578912e-05  -8.3409428000397697e-05  -1.3882433332719503e-03  -2.8815568409223898e-03  -8.6149861201476497e-05
5.2399999999998101e+01  5.0677767350332299e-05  -1.0331552854286598e-05  -8.0461534860779331e-06  -7.6314629323002105e-05  -6.4409789636259943e-05  -9.2549955639509465e-08  1.1655623675641135e-05  2.2921294227024075e-05  1.5655306906511274e-04  1.0200302126910858e-05  1.0281787300958419e-03  -3.1380406136406516e-05  -3.3225161420346607e-05  -1.5419768304416335e-04  -9.7281838926739075e-04  3.7052773427050826e-06  3.2415877992132632e-05  1.8378549727565886e-04  1.3656896469200291e-03  3.4277991275969509e-05  -8.9232470348234104e-05  6.7687418277265775e-06  7.6225360665030525e-06  -2.6950011917525120e-04  -1.4101709431484392e-04  -1.7806443059302347e-06  -8.5527780387222098e-06  2.9477697200845974e-04  4.9186820737063587e-04  -7.8567202302518242e-06  -4.6559223304752266e-04  1.0464374745829588e-04  1.1901661701552804e-04  5.9362328732352363e-04  1.1017875618533426e-03  -1.3870921104571947e-05  -1.0230233030112073e-04  -1.1580845214469444e-03  -2.2344968802151580e-03  -1.0210921338245311e-04
5.2799999999998100e+01  -2.2289872151016310e-04  -9.9488644400608927e-06  -7.7998169494358355e-06  -5.6675466444067394e-05  1.7459577997874751e-04  2.0385698775167758e-07  1.1474534889134015e-05  1.4170548949801328e-06  -1.5794020333250656e-04  1.0025890495463687e-05  9.9630429940896588e-04  -2.7943866755747345e-05  -3.0719146112503608e-05  -5.3678975874307080e-05  -8.5374608059342197e-04  5.8242389014935954e-06  2.9642527925864691e-05  5.7331637372998724e-05  1.1054778440609929e-03  3.2533925292782060e-05  -2.4868938704414778e-04  -3.8876595291086243e-07  1.7797368981028585e-06  -1.5369601690481700e-04  5.7498705598419005e-05  -5.2603799886779155e-06  -2.5186135363497754e-06  1.9580034398715356e-04  1.2022515326955732e-04  -3.4797192652555602e-06  -3.3467950925563045e-04  8.6734848893840977e-05  1.0616896705993753e-04  3.7672203919033795e-04  7.9647470595333987e-04  -3.3972440545130608e-05  -9.9969526549002538e-05  -8.7957151184817105e-04  -1.5857946336598015e-03  -1.0263472505437576e-04
5.3199999999997999e+01  -4.2361161851631586e-04  -8.5734286174138805e-06  -6.2734463317808225e-06  -3.2791414705983724e-05  3.5725009096284363e-04  6.1996894889869476e-08  1.0221073584805278e-05  -2.6664165905626687e-05  -4.1074307894110992e-04  8.5414607071388814e-06  1.1348219539392373e-03  -2.0875576592792157e-05  -2.3711657505298075e-05  2.4029471891881798e-05  -8.8957234323976326e-04  5.2703514363620278e-06  2.1520075721958798e-05  -4.8771870085839570e-05  1.0591203692877369e-03  2.5033128027612514e-05  -2.2883262871079018e-04  -1.0556973612878584e-05  -6.9971038652249273e-06  -4.3038979125611735e-05  1.1431402107217606e-04  -7.5805210680246235e-06  7.3613998678213831e-06  9.5485950977233590e-05  -7.5879045990372341e-05  4.6977122996870561e-06  -2.1186428760789819e-04  6.2374671476305070e-05  8.1615386948508687e-05  2.2634497608120036e-04  5.2075317026538609e-04  -4.0927735788971563e-05  -8.0381455906241309e-05  -6.0780924171797122e-04  -1.0264259243129724e-03  -9.0752472544435196e-05
5.3599999999997898e+01  -5.4732818407439258e-04  -7.7356660239375829e-06  -5.3140460829909798e-06  -1.7582918402618107e-05  4.6663861081937741e-04  -3.6430319324436794e-07  8.9913756531284692e-06  -3.8980917392531471e-05  -5.6258987520991924e-04  7.3723174125960941e-06  1.3727646901773279e-03  -1.4291258427386542e-05  -1.5658642660397760e-05  6.5607096843059543e-05  -1.0383418559179484e-03  2.9829942999960869e-06  1.4133339453149504e-05  -1.1107411530805779e-04  1.1941754620315144e-03  1.6678231684407511e-05  -1.3197487945561834e-04  -2.2672368222019417e-05  -1.8067628336869699e-05  3.9070635368070077e-05  9.8233124426930191e-05  -7.3103955345080728e-06  2.0911181875237015e-05  1.2974312146812936e-05  -1.5202408612477222e-04  1.6827742424432946e-05  -8.6842461969091975e-05  3.5430732370816916e-05  5.1842106819974011e-05  1.3545285796523793e-04  2.8078331500334540e-04  -3.9541208216477879e-05  -5.0593694464574424e-05  -3.8271876246628438e-04  -5.8200787431409730e-04  -6.9289578799931222e-05
5.3999999999997797e+01  -5.8723921710790189e-04  -8.5815845705309565e-06  -6.6016196723311889e-06  -1.6520476574688673e-05  4.9567070877351940e-04  -1.5234643948333988e-07  9.4266285975659984e-06  -3.4301882194301127e-05  -5.9978942981751609e-04  8.3587951493028266e-06  1.6330483335384679e-03  -9.6377098329297425e-06  -8.9790065956027023e-06  7.2731975549029503e-05  -1.2409434639117332e-03  8.1152941364336859e-07  1.0198621777299462e-05  -1.2649316858655410e-04  1.4343985569274312e-03  1.0375104042165550e-05  -3.4971588421853209e-05  -3.2399115850549781e-05  -2.7788523176278466e-05  8.1689532825230901e-05  6.3376058666960366e-05  -4.0547325763429602e-06  3.3860544076198846e-05  -4.6120907314439115e-05  -1.6460666608364449e-04  2.8975672551705465e-05  4.2423406882123538e-05  6.3949285433885207e-06  1.9093023400594584e-05  8.0946920381850995e-05  7.6937992670239206e-05  -3.4344560608495222e-05  -1.6669389169574251e-05  -2.2086719723435772e-04  -2.4329221117291004e-04  -3.9096665892220514e-05
5.4399999999997704e+01  -5.6674400914630307e-04  -9.5872824784438612e-06  -8.2303038010474926e-06  -1.8188002450864879e-05  4.7773187229858749e-04  6.6193951747420912e-07  1.0659648759468814e-05  -3.5830036211376367e-05  -5.8014574054860736e-04  9.9921545233834638e-06  1.8536899014642890e-03  -6.7554793410520471e-06  -4.8170709574860838e-06  5.3897807003951060e-05  -1.4397931603287049e-03  -8.4873327152026088e-07  8.2797755005686619e-06  -1.0542236266723460e-04  1.6968689818914803e-03  6.2171019276405111e-06  9.5152042281258857e-06  -3.4359015999217976e-05  -3.1092446777104997e-05  8.0259469093384002e-05  4.5300984004836716e-05  8.1929557215257558e-07  3.9483914053372063e-05  -7.4647497463236679e-05  -1.5239117411644477e-04  3.4712855072556335e-05  1.6575906177450182e-04  -2.0727593968059365e-05  -1.2026546566103557e-05  4.3423915839589598e-05  -8.6215813519977972e-05  -2.6606500851497160e-05  1.3995112757367959e-05  -1.1720774790058633e-04  8.3056089807190756e-06  -4.9077109314848522e-06
5.4799999999997702e+01  -5.4073034078292641e-04  -8.7106830026768609e-06  -7.3807627271807481e-06  -1.0183594474105214e-05  4.6651066372270478e-04  9.1031828237158322e-07  1.0100520112946630e-05  -5.5142573392375350e-05  -5.8244248675954366e-04  9.3622865861031165e-06  1.9841354269683007e-03  -6.5251779960580878e-06  -4.1225316406025508e-06  1.6531953271606049e-05  -1.5832886623235569e-03  -2.2036990177588233e-06  8.1520799658843891e-06  -6.1060368043762948e-05  1.9094508528263935e-03  4.9133292008817250e-06  -3.3758751321699067e-05  -2.6587287280516739e-05  -2.5584177714373461e-05  4.4166501026107359e-05  7.2506364856152628e-05  4.9518983708168648e-06  3.3727588227608242e-05  -6.7890121904201579e-05  -1.5382928846766636e-04  3.0194873992794010e-05  2.4790704649059323e-04  -3.7868123814020069e-05  -3.3135931231183481e-05  9.1582453671848113e-06  -1.9236986605538917e-04  -1.6246013256510649e-05  3.3213516224313827e-05  -4.9521904033931241e-05  1.8014466440369664e-04  2.3334658645293037e-05
5.5199999999997601e+01  -5.4400006260683594e-04  -6.5781027809936129e-06  -4.8346432317395979e-06  4.2271156184814521e-06  4.8267717260095890e-04  3.5867859358113005e-07  7.6366939453817616e-06  -7.7500438585140170e-05  -6.2327411816215286e-04  6.8655807166581038e-06  1.9835002588310187e-03  -9.4968252450117461e-06  -7.0060089984456081e-06  -3.1690402445763838e-05  -1.6289256312001378e-03  -2.8142106451951065e-06  1.0943299334018643e-05  -5.9579068902216367e-06  2.0114538662175468e-03  7.3930289326329679e-06  -1.5178945018758049e-04  -1.2466844783430865e-05  -1.3653937329270122e-05  4.0397064596591368e-06  1.4912270540407151e-04  6.5852005769343600e-06  1.8758261247296364e-05  -3.9676776399761977e-05  -1.9942800590679201e-04  1.7398603393775684e-05  2.3521878369731642e-04  -4.0871703886559671e-05  -3.9866574673530999e-05  -2.8258119140716477e-05  -2.1278799027134925e-04  -4.6898190782142311e-06  3.7820577926397135e-05  4.5682691405121799e-06  2.5305791956610669e-04  3.8043775543603352e-05
5.5599999999997500e+01  -5.6395618480070480e-04  -5.3792491415094992e-06  -3.4959133668452273e-06  1.4551522438044151e-05  5.0630935736368891e-04  -1.0144869755824589e-08  5.8267912949946181e-06  -8.8239997656719247e-05  -6.6465367456055853e-04  5.4008495514253265e-06  1.8378529731357446e-03  -1.3882754528946979e-05  -1.1840633266350650e-05  -7.9376699285252364e-05  -1.5555783634006359e-03  -2.4573902830425901e-06  1.5161793061921143e-05  4.7021080113172494e-05  1.9650858209302440e-03  1.2032082580309980e-05  -2.5585612167393617e-04  1.4848059201301085e-06  -9.4293431533001078e-07  -9.3286460398680146e-07  2.2730272201744651e-04  5.5298138872375200e-06  1.6471469247742129e-06  -2.3126565548615841e-05  -2.7381753445873008e-04  2.7034198935435053e-06  1.1772470558456055e-04  -3.3535103427378339e-05  -3.5761505639675718e-05  -5.8262104413299396e-05  -1.4040454466990914e-04  5.0555450038948098e-06  3.2033726330376842e-05  4.6887213643748329e-05  2.1010916889434888e-04  3.9444730775031739e-05
5.5999999999997399e+01  -5.7862191230470083e-04  -5.7906214163665966e-06  -3.9284144849497526e-06  1.9183159661073963e-05  5.2074843449151668e-04  -2.5912683826438517e-07  5.7009229778878410e-06  -9.0460535434589554e-05  -6.8613781036554688e-04  5.6287716292461669e-06  1.5769078893786096e-03  -1.7266555010392768e-05  -1.6450148454535733e-05  -1.1301678674503842e-04  -1.3753046641887443e-03  -1.6469993910097348e-06  1.7684268492509342e-05  8.5583943743660907e-05  1.7745582639897661e-03  1.5996408691414465e-05  -2.1181908585131290e-04  9.7781186246559731e-06  7.1604475757479813e-06  5.0761299625010245e-05  2.1597621225521757e-04  3.0256543468290190e-06  -1.0392839625913417e-05  -4.9614962394253397e-05  -2.9955590699688197e-04  -7.4078189170023873e-06  -1.9742360666751762e-05  -2.2702246382387261e-05  -2.7028522823051148e-05  -5.7126026561697471e-05  -3.0556546047310941e-05  1.0471832158034184e-05  2.2770241380409960e-05  5.9969532021229597e-05  9.2592169628232898e-05  3.2563406054465354e-05
5.6399999999997299e+01  -6.0092598484077640e-04  -6.6240436625816980e-06  -4.2908986521906235e-06  2.3718495969697853e-05  5.4195474065802231e-04  -1.4288326688784584e-06  5.7090721661553291e-06  -9.1879145577341854e-05  -7.1422148457447095e-04  5.5588344909142632e-06  1.2693211847487540e-03  -1.8881136195143933e-05  -1.9600368391491048e-05  -1.2102574881513214e-04  -1.1323547233611248e-03  -7.1683506035656824e-07  1.7785568549341941e-05  9.9309061011690662e-05  1.4874389286411846e-03  1.8311651202827083e-05  8.3956822710928023e-05  1.0684062042446636e-05  8.4964191571298811e-06  1.4580882564040851e-04  2.9819141340704305e-05  6.0225440278800716e-07  -1.3985832682507104e-05  -1.2585117407416715e-04  -1.7135563427769866e-04  -1.0034907345986122e-05  -3.9287713174494082e-05  -1.2838173319382627e-05  -1.7526491118010966e-05  -1.0153191107044471e-05  1.4714190822682515e-05  1.1056814927746722e-05  1.4504246768390266e-05  2.8993054691211085e-05  4.2848631788271890e-06  2.2308338509004600e-05
