sector,omega,status,phi_c,adm_mass,r99_iso,r90_iso,r99_areal,compactness_iso,compactness_areal
canonical,0.73,ok,0.019851319,0.016027998,8.786303,5.333215,8.802339,3.648405e-03,3.641759e-03
phantom,0.73,ok,0.019856858,-0.016994905,8.815743,5.461774,8.798757,3.855581e-03,3.863024e-03
canonical,0.75,ok,0.019720470,0.014349964,8.990331,5.237178,9.004687,3.192310e-03,3.187221e-03
phantom,0.75,ok,0.019743220,-0.015131144,9.042302,5.339291,9.027177,3.346746e-03,3.352353e-03
canonical,0.775,ok,0.019477510,0.012612290,9.344145,5.140822,9.356761,2.699507e-03,2.695867e-03
phantom,0.775,ok,0.019523878,-0.013225540,9.389985,5.236455,9.376764,2.816946e-03,2.820918e-03
canonical,0.8,ok,0.019126449,0.011209378,9.814080,5.108319,9.825292,2.284346e-03,2.281739e-03
phantom,0.8,ok,0.019199190,-0.011692158,9.836654,5.182452,9.824965,2.377263e-03,2.380092e-03
canonical,0.825,ok,0.018640633,0.010064543,10.347567,5.343800,10.357634,1.945296e-03,1.943406e-03
phantom,0.825,ok,0.018743158,-0.010453016,10.370926,5.365241,10.360475,2.015831e-03,2.017864e-03
canonical,0.85,ok,0.017985047,0.009156190,11.068875,5.712571,11.078033,1.654403e-03,1.653035e-03
phantom,0.85,ok,0.018121787,-0.009461162,11.099914,5.695986,11.090455,1.704727e-03,1.706181e-03
canonical,0.875,ok,0.017111488,0.008453122,12.051542,6.197367,12.059996,1.402828e-03,1.401845e-03
phantom,0.875,ok,0.017288556,-0.008700494,12.034050,6.178368,12.025351,1.445979e-03,1.447025e-03
canonical,0.9,ok,0.015949103,0.007963402,13.402839,6.848197,13.410803,1.188316e-03,1.187610e-03
phantom,0.9,ok,0.016175658,-0.008158935,13.369379,6.861504,13.361221,1.220541e-03,1.221286e-03
