# time  chi_mean_R16  chi_min_R16  chi_max_R16  lapse_mean_R16  lapse_min_R16  lapse_max_R16  K_mean_R16  K_min_R16  K_max_R16  chi_mean_R24  chi_min_R24  chi_max_R24  lapse_mean_R24  lapse_min_R24  lapse_max_R24  K_mean_R24  K_min_R24  K_max_R24  chi_mean_R32  chi_min_R32  chi_max_R32  lapse_mean_R32  lapse_min_R32  lapse_max_R32  K_mean_R32  K_min_R32  K_max_R32  chi_mean_R40  chi_min_R40  chi_max_R40  lapse_mean_R40  lapse_min_R40  lapse_max_R40  K_mean_R40  K_min_R40  K_max_R40
9.3600000000010994e+01  1.0271664957027729e+00  9.3489363036055984e-01  1.0963006862775724e+00  9.9393392496779276e-01  7.2111980408158405e-01  1.0627087308257481e+00  -5.8615174039876230e-04  -1.2113681791049370e-03  1.3534241109179690e-02  1.0056105953347387e+00  9.9378725389578437e-01  1.0354425857016860e+00  9.8355667363288690e-01  9.3521900240622380e-01  1.0092699994316283e+00  5.0813744083535607e-05  -7.4955311242030855e-04  7.6420161491784532e-04  1.0037636351296528e+00  9.9517845286242024e-01  1.0154979965477755e+00  9.8863167332631463e-01  9.6435971042490132e-01  9.9632571400053183e-01  5.3333635300725866e-04  -1.0960649396217027e-04  6.8061692351901147e-04  1.0016212010400389e+00  1.0003987741122868e+00  1.0070911711603721e+00  9.9658924086425271e-01  9.7944800106515406e-01  1.0000895644161392e+00  5.3128051384970679e-04  1.5635958663631248e-04  1.0021097900601967e-03
9.4000000000011198e+01  1.0270302703450458e+00  9.2409441505532064e-01  1.0962774486172793e+00  9.9440538895275021e-01  7.1309006859397395e-01  1.0624640761186248e+00  -5.7203732890632000e-04  -1.1433851360664559e-03  1.5527425368571109e-02  1.0055926677944860e+00  9.9389768919377053e-01  1.0354423225530560e+00  9.8361427218688247e-01  9.3467168426126768e-01  1.0090697749016362e+00  1.4708918750568813e-05  -7.4474047550874536e-04  8.1716070000601381e-04  1.0038734650123082e+00  9.9522239125549017e-01  1.0154857641646828e+00  9.8822940652955271e-01  9.6445856941965824e-01  9.9598216543414853e-01  4.9964565044429018e-04  -1.7010663019822230e-04  6.5975657753615297e-04  1.0017661555568749e+00  1.0004243720595904e+00  1.0073197085701862e+00  9.9616175807281970e-01  9.7874321609209347e-01  9.9988621249984522e-01  5.4357958286320820e-04  1.6686011519578917e-04  9.4961374159893816e-04
9.4400000000011403e+01  1.0268861738918140e+00  9.1214734299473355e-01  1.0962394775752082e+00  9.9486842323819147e-01  7.0440184219675095e-01  1.0622436534715702e+00  -5.5488170698637614e-04  -1.1392846040597555e-03  1.7983009197991742e-02  1.0055664050603961e+00  9.9399924734507250e-01  1.0354750204750585e+00  9.8369980871265272e-01  9.3398866817286141e-01  1.0088907723282852e+00  -1.7846134543540851e-05  -7.4124427902553581e-04  1.0144959745670757e-03  1.0039730883890432e+00  9.9526953325715461e-01  1.0154622107382085e+00  9.8785480645904200e-01  9.6459945851013851e-01  9.9563036807042427e-01  4.6386131850514460e-04  -2.1745469126431262e-04  6.4019817024485437e-04  1.0019131525249765e+00  1.0004547508066053e+00  1.0075251936584926e+00  9.9572564639189465e-01  9.7810052497944677e-01  9.9966310297595273e-01  5.5324557456682007e-04  1.8120674609916121e-04  8.8664975072635520e-04
9.4800000000011593e+01  1.0267344016359683e+00  8.9893972921584742e-01  1.0961891790467850e+00  9.9532093720868198e-01  6.9502684805734116e-01  1.0620423607809870e+00  -5.3508954066008722e-04  -1.1559459701015130e-03  2.0930764181793904e-02  1.0055328039916387e+00  9.9408549566106585e-01  1.0355438597360538e+00  9.8381044291326158e-01  9.3315769244627467e-01  1.0087360903843574e+00  -4.6654976577840029e-05  -7.3574694833096650e-04  1.2276292184693154e-03  1.0040621137673615e+00  9.9531845035897704e-01  1.0154313571944402e+00  9.8750938422517143e-01  9.6477192503293641e-01  9.9527153070399177e-01  4.2634015065769226e-04  -2.5042397726226465e-04  6.2637563975911621e-04  1.0020614009375608e+00  1.0004911456732122e+00  1.0077068726657965e+00  9.9528306711804881e-01  9.7752352847318935e-01  9.9941992483334208e-01  5.6011099020445256e-04  1.9875677572000789e-04  8.4235063667199882e-04
9.5200000000011798e+01  1.0265750719213451e+00  8.8436318826832727e-01  1.0961279779743547e+00  9.9576115825251910e-01  6.8493987273812396e-01  1.0618564484010728e+00  -5.1313331541411262e-04  -1.1687688976214075e-03  2.4334852082576918e-02  1.0054928846952524e+00  9.9416342482969855e-01  1.0356509907985680e+00  9.8394320248556877e-01  9.3216798533670475e-01  1.0086071970580734e+00  -7.1585386262569876e-05  -7.2373078917285392e-04  1.4536881642887947e-03  1.0041402538188251e+00  9.9536760709815220e-01  1.0153976189536775e+00  9.8719436184943610e-01  9.6496430729103411e-01  9.9491227828849227e-01  3.8746166985459765e-04  -2.8026628032622934e-04  6.1653503376984877e-04  1.0022100824745517e+00  1.0005339033621590e+00  1.0078645931199630e+00  9.9483629644957405e-01  9.7701433823975559e-01  9.9915756083018625e-01  5.6404867148768505e-04  2.1715480444557477e-04  8.0782419307007713e-04
9.5600000000012002e+01  1.0264082276999318e+00  8.6832159296533806e-01  1.0960561709601839e+00  9.9618765278984900e-01  6.7411878394226488e-01  1.0616842380387554e+00  -4.8961020845620599e-04  -1.1770206771873775e-03  2.8033650509796948e-02  1.0054476717214391e+00  9.9423290324762525e-01  1.0357969856541596e+00  9.8409503300204415e-01  9.3101154215563608e-01  1.0085035868946972e+00  -9.2566656407798431e-05  -7.1230476647731237e-04  1.6899856834658681e-03  1.0042073312463953e+00  9.9541556286539978e-01  1.0153655467298872e+00  9.8691065507291109e-01  9.6516418426723949e-01  9.9455034489885608e-01  3.4762669676670680e-04  -3.1683076905264930e-04  6.0857292309966879e-04  1.0023583639193905e+00  1.0005825110304083e+00  1.0079987733049920e+00  9.9438769265832283e-01  9.7657352844595025e-01  9.9888436499328037e-01  5.6497266614134235e-04  2.3746449674343957e-04  7.6921259321652399e-04
9.6000000000012193e+01  1.0262338454031774e+00  8.5073363593004392e-01  1.0959733563349074e+00  9.9659933459538075e-01  6.6254076692894281e-01  1.0615257089355044e+00  -4.6522898182886131e-04  -1.1811336144043204e-03  3.1597961382083248e-02  1.0053981786903003e+00  9.9429439208351367e-01  1.0359810114325545e+00  9.8426284377182727e-01  9.2968326729680340e-01  1.0084232765290235e+00  -1.0958304955712057e-04  -6.9844877673498531e-04  1.9326823282632287e-03  1.0042632832319596e+00  9.9546117216855035e-01  1.0153394814189003e+00  9.8665885837975409e-01  9.6535907843769198e-01  9.9418577031393252e-01  3.0725281849698090e-04  -3.4919261108108706e-04  6.0117893124475531e-04  1.0025054068975545e+00  1.0006357458198403e+00  1.0081102754090088e+00  9.9393966646083010e-01  9.7620030058676122e-01  9.9867463454806138e-01  5.6282949575215714e-04  2.5706987249818548e-04  7.3811640495629834e-04
9.6400000000012398e+01  1.0260518595264081e+00  8.3150844269944113e-01  1.0958791248601574e+00  9.9699543368840815e-01  6.5017363325280042e-01  1.0613813582913179e+00  -4.4075173857291644e-04  -1.1823987947431492e-03  3.4295628397944124e-02  1.0053453952696798e+00  9.9434067675958981e-01  1.0362016022299103e+00  9.8444354926755695e-01  9.2817983567039497e-01  1.0083638881672394e+00  -1.2266960764768675e-04  -6.8008977029148374e-04  2.1806286779187498e-03  1.0043081635072379e+00  9.9550373711522233e-01  1.0153232025899832e+00  9.8643923447765824e-01  9.6553728155745366e-01  9.9381976006645167e-01  2.6676715462709162e-04  -3.7605658503724130e-04  5.9134533750811852e-04  1.0026503720218738e+00  1.0006921484134217e+00  1.0082002220843482e+00  9.9349466137540521e-01  9.7589282183003512e-01  9.9844919368274199e-01  5.5758345697078039e-04  2.7830351398895706e-04  7.0264453503011742e-04
9.6800000000012602e+01  1.0258621828986967e+00  8.1050394407959236e-01  1.0957736449692916e+00  9.9737544088138053e-01  6.3695951918666094e-01  1.0612509888538999e+00  -4.1693741528746916e-04  -1.1820912634062208e-03  3.5133554768656705e-02  1.0052902756752424e+00  9.9437689898626824e-01  1.0364573817971725e+00  9.8463410674842455e-01  9.2649820458873577e-01  1.0083237175569122e+00  -1.3190585059225655e-04  -6.5949122574394036e-04  2.4343985673282199e-03  1.0043421414746194e+00  9.9554305849891234e-01  1.0153197105499085e+00  9.8625171012564650e-01  9.6568853173196101e-01  9.9345409192920364e-01  2.2659718220409744e-04  -4.0258847521176642e-04  5.8563726642434013e-04  1.0027924188234185e+00  1.0007505070205185e+00  1.0082698747071874e+00  9.9305514402700878e-01  9.7564852905288613e-01  9.9821751533903447e-01  5.4920847335624085e-04  2.7358486418774562e-04  6.7508171063808777e-04
9.7200000000012807e+01  1.0256646958834867e+00  7.8745475498015272e-01  1.0956578953527556e+00  9.9773907107976179e-01  6.2278941207011052e-01  1.0611329868068737e+00  -3.9445569848975951e-04  -1.1806643331656534e-03  3.3055284577922922e-02  1.0052337315132376e+00  9.9440029070883840e-01  1.0367472760934267e+00  9.8483154512113091e-01  9.2463473714355016e-01  1.0083022502215666e+00  -1.3739894114501457e-04  -6.3784200473270480e-04  2.6952190036595137e-03  1.0043654981199288e+00  9.9557935368921746e-01  1.0153312715130975e+00  9.8609587964943168e-01  9.6580423250327119e-01  9.9309120301494214e-01  1.8716033750752788e-04  -4.2915476812279254e-04  5.8175861537324469e-04  1.0029307078645018e+00  1.0008100527235859e+00  1.0083206504548055e+00  9.9262359412687240e-01  9.7546420843360027e-01  9.9797469109372960e-01  5.3769765516695580e-04  1.9908248133974251e-04  6.5821768311558526e-04
9.7600000000012997e+01  1.0254592067164254e+00  7.6185452099288964e-01  1.0955334911262193e+00  9.9808626656731447e-01  6.0746734942193614e-01  1.0610243511719868e+00  -3.7370539574340669e-04  -1.1775510187914051e-03  2.7335848722042960e-02  1.0051766321930153e+00  9.9441114523972807e-01  1.0370703815155844e+00  9.8503297793034772e-01  9.2258495395725337e-01  1.0082999741333560e+00  -1.3926120006204493e-04  -6.1793499807669377e-04  2.9645193751598790e-03  1.0043786187136743e+00  9.9561305345232021e-01  1.0153597263902732e+00  9.8597101685488098e-01  9.6587709754221807e-01  9.9273414302870433e-01  1.4885331201744664e-04  -4.4470729036749944e-04  5.7342282843302831e-04  1.0030644118889520e+00  1.0008699350143744e+00  1.0083542085040618e+00  9.9220247993796051e-01  9.7533590252868618e-01  9.9771232560325029e-01  5.2308825455106697e-04  1.3012621911633111e-04  6.4306962573026114e-04
9.8000000000013202e+01  1.0252454253127947e+00  7.3281551577188542e-01  1.0954022482729029e+00  9.9841722635849695e-01  5.9067205856800453e-01  1.0609213452946777e+00  -3.5454667749922422e-04  -1.1732069902729266e-03  2.2922205852954510e-02  1.0051198094855729e+00  9.9441511496265944e-01  1.0374258842488928e+00  9.8523560364898466e-01  9.2034333788303835e-01  1.0083177307675730e+00  -1.3760258517228575e-04  -5.9614272657449168e-04  3.2441295699284123e-03  1.0043819828254144e+00  9.9564453722237278e-01  1.0154069012307858e+00  9.8587609489526107e-01  9.6590042695119016e-01  9.9239146444256510e-01  1.1204304182974085e-04  -4.5803384752718331e-04  5.6042583270562616e-04  1.0031927369760587e+00  1.0009303859990741e+00  1.0083725416932567e+00  9.9179421316786143e-01  9.7525894371269339e-01  9.9742884867192072e-01  5.0548529005944908e-04  6.7217061995889681e-05  6.2073084113858056e-04
9.8400000000013407e+01  1.0250230048512334e+00  6.9894689591946357e-01  1.0952657439058680e+00  9.9873244952309392e-01  5.7192648385081579e-01  1.0608203459904086e+00  -3.3609953730950502e-04  -1.1666585470461658e-03  2.5041020581431778e-02  1.0050640559626973e+00  9.9441236990076320e-01  1.0378129923732580e+00  9.8543671070995953e-01  9.1790313684046154e-01  1.0083560150552955e+00  -1.3255062479645060e-04  -5.7115465891134642e-04  3.5359190972221823e-03  1.0043761530533111e+00  9.9567390033714631e-01  1.0154749029285719e+00  9.8580981172913673e-01  9.6586741386938857e-01  9.9205920252260715e-01  7.7061942331676530e-05  -4.6659396845755022e-04  5.4433050166090183e-04  1.0033149468122158e+00  1.0009915503509144e+00  1.0083775607452383e+00  9.9140109213367533e-01  9.7522804582996780e-01  9.9712583101967245e-01  4.8506582739710099e-04  -3.9982099110691731e-06  6.0037258431726347e-04
9.8800000000013597e+01  1.0247917068227466e+00  6.5833621844626544e-01  1.0951250785165625e+00  9.9903281618346762e-01  5.5058997887466254e-01  1.0607184564617742e+00  -3.1683296738665252e-04  -2.8304904069947419e-03  2.8163709332326401e-02  1.0050101108548710e+00  9.9440351083670664e-01  1.0382304858102742e+00  9.8563370310403231e-01  9.1525679410558192e-01  1.0084145579154900e+00  -1.2427977378067732e-04  -5.4186826482061242e-04  3.8405815602494744e-03  1.0043617642606764e+00  9.9570084911104684e-01  1.0155661786421932e+00  9.8577061744850636e-01  9.6577079934953836e-01  9.9173942620936240e-01  4.4207778266285394e-05  -4.7356245144586687e-04  5.2614149204537996e-04  1.0034303802725133e+00  1.0010538859650957e+00  1.0083701645854448e+00  9.9102525127117824e-01  9.7523920753534055e-01  9.9681344310906361e-01  4.6206023383462661e-04  -7.0429092804436674e-05  5.8708310194455714e-04
9.9200000000013802e+01  1.0245517638022437e+00  6.0877460330926547e-01  1.0949808730506638e+00  9.9931974123626288e-01  5.2588553904835489e-01  1.0606137115576832e+00  -2.9504790977001171e-04  -6.9587178670563170e-03  3.1378241385442880e-02  1.0049586399997898e+00  9.9438960081036576e-01  1.0386759450490231e+00  9.8582414113254624e-01  9.1239708526633090e-01  1.0084923199049782e+00  -1.1301736345538819e-04  -5.1504746118792588e-04  4.1572421741599610e-03  1.0043395140738698e+00  9.9572477173966023e-01  1.0156833621907153e+00  9.8575674093835519e-01  9.6560295325383916e-01  9.9143369113764956e-01  1.3744761762423442e-05  -4.8111770570440613e-04  5.1018759897033638e-04  1.0035384573224171e+00  1.0011180118891865e+00  1.0083512186569181e+00  9.9066863049721410e-01  9.7528994150836379e-01  9.9650826514966340e-01  4.3672438771811021e-04  -1.2679492891120678e-04  5.6895974379290656e-04
9.9600000000014006e+01  1.0243045041834562e+00  5.4832025286090658e-01  1.0948333973265718e+00  9.9959539327743629e-01  4.9696686479485180e-01  1.0605049780793268e+00  -2.6967868137363609e-04  -1.7188222913944126e-03  3.6103710472528111e-02  1.0049102230872438e+00  9.9437194006768970e-01  1.0391454466850978e+00  9.8600577533342548e-01  9.0931772183307247e-01  1.0085878067145568e+00  -9.9020682581005102e-05  -4.8938559107226855e-04  4.4852979363129595e-03  1.0043101535742815e+00  9.9574494138880709e-01  1.0158290114275426e+00  9.8576621661535135e-01  9.6535626775044092e-01  9.9114273845208234e-01  -1.4098271814343650e-05  -4.8206335476836456e-04  4.9812202872908274e-04  1.0036386767316827e+00  1.0011854883457036e+00  1.0083216315430783e+00  9.9033296348842048e-01  9.7537677110073706e-01  9.9619354498531210e-01  4.0932239878985443e-04  -1.7234585891426915e-04  5.5745232781743319e-04
1.0000000000001400e+02  1.0240532252638384e+00  4.7623928598858933e-01  1.0946827328794018e+00  9.9986293631577250e-01  4.6305502318044456e-01  1.0603964446887020e+00  -2.4119432942510449e-04  -1.9513787012703384e-03  4.2991938493434141e-02  1.0048653511726502e+00  9.9433906681584583e-01  1.0396342663730767e+00  9.8617656276111199e-01  9.0601217787583288e-01  1.0086994672241574e+00  -8.2557539446740047e-05  -4.6251246532181129e-04  4.8269980122098537e-03  1.0042744766689491e+00  9.9576072776184688e-01  1.0160053515016565e+00  9.8579691372358136e-01  9.6502366996989630e-01  9.9088404044497080e-01  -3.9132078012298557e-05  -4.7976384189150223e-04  4.8682805651276308e-04  1.0037306140703699e+00  1.0012577669799136e+00  1.0082814857418818e+00  9.9001977185838497e-01  9.7549832785687496e-01  9.9586890177108933e-01  3.8012875250596019e-04  -2.0710645209342149e-04  5.4350652815960212e-04
1.0040000000001400e+02  1.0238041118813830e+00  3.9411839066703769e-01  1.0945289530149480e+00  1.0001267831715515e+00  4.2371413761971027e-01  1.0602847838103688e+00  -2.1234338711369473e-04  -2.3184702439659872e-03  6.2860180708855087e-02  1.0048244234873420e+00  9.9429795399703480e-01  1.0401379363772927e+00  9.8633467946534370e-01  9.0247135435437342e-01  1.0088259308673260e+00  -6.3915372059760442e-05  -4.3337669892650377e-04  5.1877780622225280e-03  1.0042333085671871e+00  9.9577170012698590e-01  1.0162141392110695e+00  9.8584656806103421e-01  9.6459901481353183e-01  9.9064310074802320e-01  -6.1207946817055936e-05  -4.7690465534351811e-04  6.0563009729861709e-04  1.0038139261842365e+00  1.0013347368501748e+00  1.0082320917103536e+00  9.8973035193004155e-01  9.7565145947075760e-01  9.9553571973875621e-01  3.4944219218845736e-04  -2.3588164423656558e-04  5.3158487110914541e-04
1.0080000000001500e+02  1.0235668111520024e+00  3.0676183463990753e-01  1.0943723146120814e+00  1.0003928954902541e+00  3.7937354833576864e-01  1.0601678930184109e+00  -1.8836368126104761e-04  -2.7100988983552276e-03  1.1493778309232193e-01  1.0047877359544448e+00  9.9425495187863033e-01  1.0406524262990007e+00  9.8647854402624335e-01  8.9868212501415490e-01  1.0089660111488163e+00  -4.3415656067863709e-05  -4.0655949333378986e-04  5.5738587171810490e-03  1.0041874958789223e+00  9.9577761357900307e-01  1.0164567409018013e+00  9.8591281188796598e-01  9.6407711823587117e-01  9.9042045077427143e-01  -8.0212022017148572e-05  -4.6932330918280041e-04  7.3581085745911244e-04  1.0038883614848380e+00  1.0014145820306664e+00  1.0081761229712025e+00  9.8946575107769130e-01  9.7583038412505629e-01  9.9519711376199471e-01  3.1759541467083147e-04  -2.5984535786659517e-04  5.1695445075586256e-04
