s x_pos t kk_over_kt2 abs_H
11.9000 68.10477 13.01803 9.661574e-04 2.013873e-04
11.9500 68.15019 13.05038 7.635734e-04 1.604966e-04
12.0000 68.19564 13.08286 5.304457e-04 1.124343e-04
12.0500 68.24112 13.11549 2.904260e-04 6.207925e-05
12.1000 68.28661 13.14825 7.781638e-04 1.677660e-04
12.1500 68.33212 13.18115 6.920599e-04 1.504889e-04
12.2000 68.37764 13.21420 4.250777e-04 9.322759e-05
12.2500 68.42317 13.24738 1.478054e-04 3.269395e-05
12.3000 68.46869 13.28071 1.362352e-04 3.039139e-05
12.3500 68.51422 13.31418 1.276873e-04 2.872692e-05
12.4000 68.55973 13.34779 2.562460e-04 5.814180e-05
12.4500 68.60521 13.38154 3.529217e-05 8.075476e-06
12.5000 68.65068 13.41544 2.261699e-04 5.218881e-05
12.5500 68.69611 13.44947 4.908127e-04 1.142045e-04
12.6000 68.74152 13.48365 7.396276e-04 1.735317e-04
12.6500 68.78688 13.51798 2.995960e-04 7.087563e-05
12.7000 68.83219 13.55244 3.827684e-04 9.129947e-05
12.7500 68.87745 13.58704 6.038426e-04 1.452112e-04
12.8000 68.92266 13.62179 8.007050e-04 1.941191e-04
12.8500 68.96782 13.65668 9.741094e-04 2.380671e-04
12.9000 69.01291 13.69170 3.727253e-04 9.184556e-05
12.9500 69.05792 13.72688 1.004663e-03 2.497033e-04
13.0000 69.10285 13.76221 7.645544e-04 1.916395e-04
13.0500 69.14770 13.79768 5.441169e-04 1.375250e-04
13.1000 69.19246 13.83331 3.545943e-04 9.036009e-05
13.1500 69.23715 13.86907 1.811783e-04 4.654275e-05
13.2000 69.28175 13.90498 3.447537e-04 8.927186e-05
13.2500 69.32626 13.94104 3.142296e-04 8.201077e-05
13.3000 69.37067 13.97723 1.642925e-04 4.321318e-05
13.3500 69.41500 14.01357 3.601262e-05 9.545224e-06
13.4000 69.45924 14.05004 6.535275e-05 1.745377e-05
13.4500 69.50339 14.08665 9.338730e-05 2.512948e-05
13.5000 69.54745 14.12340 1.164346e-04 3.156753e-05
13.5500 69.59141 14.16029 7.423724e-05 2.027809e-05
13.6000 69.63528 14.19731 3.558319e-05 9.792183e-06
13.6500 69.67907 14.23448 1.888066e-05 5.234356e-06
13.7000 69.72277 14.27178 1.281919e-05 3.580137e-06
13.7500 69.76638 14.30921 2.439619e-05 6.863185e-06
13.8000 69.80990 14.34678 4.199134e-05 1.189852e-05
13.8500 69.85334 14.38449 3.077553e-05 8.783124e-06
13.9000 69.89669 14.42233 3.703409e-06 1.064320e-06
13.9500 69.93996 14.46031 2.355704e-05 6.816736e-06
14.0000 69.98313 14.49841 6.477590e-05 1.887391e-05
14.0500 70.02621 14.53664 1.384053e-05 4.059998e-06
14.1000 70.06921 14.57500 5.779796e-05 1.706712e-05
14.1500 70.11212 14.61349 2.548768e-05 7.576145e-06
14.2000 70.15495 14.65211 1.784306e-05 5.338913e-06
14.2500 70.19769 14.69085 8.305239e-05 2.501475e-05
14.3000 70.24034 14.72972 1.497143e-04 4.539026e-05
14.3500 70.28292 14.76872 9.794981e-05 2.987952e-05
14.4000 70.32541 14.80783 1.225501e-04 3.760860e-05
14.4500 70.36782 14.84706 5.174838e-05 1.597578e-05
14.5000 70.41014 14.88641 2.964839e-05 9.207626e-06
14.5500 70.45238 14.92587 1.270569e-04 3.969322e-05
14.6000 70.49454 14.96545 2.264095e-04 7.114997e-05
14.6500 70.53662 15.00514 1.584292e-04 5.004998e-05
14.7000 70.57861 15.04494 1.315384e-04 4.176860e-05
14.7500 70.62052 15.08484 3.129743e-05 9.988970e-06
14.8000 70.66235 15.12483 6.770575e-05 2.171832e-05
14.8500 70.70409 15.16493 1.143263e-04 3.684917e-05
14.9000 70.74574 15.20512 2.237775e-04 7.247135e-05
14.9500 70.78731 15.24540 2.491584e-04 8.101681e-05
15.0000 70.82879 15.28577 2.040156e-04 6.659672e-05
15.0500 70.87018 15.32620 9.267105e-05 3.036742e-05
15.1000 70.91148 15.36672 2.155615e-05 7.090805e-06
15.1500 70.95269 15.40731 1.393265e-04 4.600503e-05
15.2000 70.99382 15.44798 2.559328e-04 8.482656e-05
15.2500 71.03486 15.48873 2.013144e-04 6.692738e-05
15.3000 71.07582 15.52953 1.746878e-04 5.824243e-05
15.3500 71.11668 15.57038 4.116789e-05 1.376493e-05
15.4000 71.15746 15.61130 9.055444e-05 3.036384e-05
15.4500 71.19815 15.65228 2.205163e-04 7.415015e-05
