   0.6150000    8.5122310594e-03    2.5657680665e-04
   0.6200000    8.5125667745e-03    2.5843616732e-04
   0.6250000    8.5129028565e-03    2.6027902931e-04
   0.6300000    8.5132399547e-03    2.6210560997e-04
   0.6350000    8.5135786507e-03    2.6391613022e-04
   0.6400000    8.5139194523e-03    2.6571081439e-04
   0.6450000    8.5142628317e-03    2.6748989013e-04
   0.6500000    8.5146092643e-03    2.6925358814e-04
   0.6550000    8.5149592412e-03    2.7100214196e-04
   0.6600000    8.5153132364e-03    2.7273578762e-04
   0.6650000    8.5156716468e-03    2.7445476331e-04
   0.6700000    8.5160347324e-03    2.7615930901e-04
   0.6750000    8.5164025925e-03    2.7784966620e-04
   0.6800000    8.5167751887e-03    2.7952607758e-04
   0.6850000    8.5171524150e-03    2.8118878689e-04
   0.6900000    8.5175341830e-03    2.8283803858e-04
   0.6950000    8.5179204980e-03    2.8447407749e-04
   0.7000000    8.5183114965e-03    2.8609714836e-04
   0.7050000    8.5187074435e-03    2.8770749539e-04
   0.7100000    8.5191086947e-03    2.8930536170e-04
   0.7150000    8.5195156477e-03    2.9089098907e-04
   0.7200000    8.5199286974e-03    2.9246461761e-04
   0.7250000    8.5203482125e-03    2.9402648557e-04
   0.7300000    8.5207745297e-03    2.9557682896e-04
   0.7350000    8.5212079649e-03    2.9711588121e-04
   0.7400000    8.5216488254e-03    2.9864387256e-04
   0.7450000    8.5220974241e-03    3.0016102965e-04
   0.7500000    8.5225540820e-03    3.0166757499e-04
   0.7550000    8.5230191268e-03    3.0316372677e-04
   0.7600000    8.5234928800e-03    3.0464969867e-04
   0.7650000    8.5239756385e-03    3.0612569988e-04
   0.7700000    8.5244676428e-03    3.0759193500e-04
   0.7750000    8.5249690329e-03    3.0904860417e-04
   0.7800000    8.5254797739e-03    3.1049590310e-04
   0.7850000    8.5259995298e-03    3.1193402347e-04
   0.7900000    8.5265274055e-03    3.1336315402e-04
   0.7950000    8.5270613745e-03    3.1478348354e-04
   0.8000000    8.5275968254e-03    3.1619520949e-04
   0.8050000    8.5281222086e-03    3.1759856799e-04
   0.8100000    8.5286020366e-03    3.1899394712e-04
   0.8150000    8.5289084393e-03    3.2038148497e-04
   0.8200000    8.5289007350e-03    3.2176002138e-04
   0.8250000    8.5288025117e-03    3.2313022575e-04
   0.8300000    8.5288841442e-03    3.2449264394e-04
   0.8350000    8.5292261867e-03    3.2584756373e-04
   0.8400000    8.5297612568e-03    3.2719527639e-04
   0.8450000    8.5301548833e-03    3.2853961620e-04
   0.8500000    8.5289244259e-03    3.2987103045e-04
   0.8550000    8.5270299087e-03    3.3119417479e-04
   0.8600000    8.5257216404e-03    3.3251044131e-04
   0.8650000    8.5253042439e-03    3.3382031311e-04
   0.8700000    8.5256122113e-03    3.3512379175e-04
