# time  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)  Re_m-2(R=24)  Im_m-2(R=24)  Re_m-1(R=24)  Im_m-1(R=24)  Re_m0(R=24)  Im_m0(R=24)  Re_m1(R=24)  Im_m1(R=24)  Re_m2(R=24)  Im_m2(R=24)  Re_m-2(R=32)  Im_m-2(R=32)  Re_m-1(R=32)  Im_m-1(R=32)  Re_m0(R=32)  Im_m0(R=32)  Re_m1(R=32)  Im_m1(R=32)  Re_m2(R=32)  Im_m2(R=32)  Re_m-2(R=40)  Im_m-2(R=40)  Re_m-1(R=40)  Im_m-1(R=40)  Re_m0(R=40)  Im_m0(R=40)  Re_m1(R=40)  Im_m1(R=40)  Re_m2(R=40)  Im_m2(R=40)
7.0799999999999301e+01  -5.5055712821998944e-03  8.5739907586786216e-05  1.5980898660783306e-03  9.0852241485169626e-06  7.0087563885405553e-03  3.6865409882718241e-08  1.4268930550327438e-03  -1.0320894217240558e-05  -5.5388573608768331e-03  -8.5698097102967491e-05  -1.2356682845783224e-03  2.3754880758124629e-05  7.4927569610985518e-05  -3.3840133959616354e-06  1.0731951760567483e-03  -1.9273068380768048e-07  2.7983453112216333e-05  2.7761201155577066e-06  -1.2285429985477662e-03  -2.3862658550277336e-05  -6.1755283810092834e-04  1.9584439815760777e-05  2.6591954465934718e-05  6.3066083201470678e-07  5.1200594976368301e-04  -1.1492771787623813e-07  -1.2465899181197013e-05  -7.1802988140897061e-07  -6.1831661752468638e-04  -1.9670155023425527e-05  -4.9735212341322826e-04  1.0982707326722287e-05  1.2263526395689068e-05  1.3439411580327477e-07  4.0750677546787218e-04  -5.2417877103135291e-08  -9.7232993129253579e-06  -2.2301339856947997e-07  -4.9732951179612211e-04  -1.1024531178000737e-05
7.1199999999999505e+01  -5.6452927306428436e-03  9.0333951423173607e-05  1.6821947603906096e-03  1.2019751593112049e-05  7.2513632594870658e-03  -3.7474143291470785e-08  1.5019911647943520e-03  -1.3416161140963784e-05  -5.6848118244346851e-03  -9.0377606513233034e-05  -1.2522947451475510e-03  2.2930699503064683e-05  7.5896135753704007e-05  -3.6157138308827612e-06  1.0893221796134552e-03  -1.9079429498726072e-07  3.0574813902009586e-05  2.9615188293655175e-06  -1.2447715563287767e-03  -2.3036602299419514e-05  -6.0824350414806440e-04  1.9652996462056217e-05  2.6826877171376852e-05  5.7854531849448758e-07  5.0456363461164424e-04  -1.2276600987077304e-07  -1.2384572849100548e-05  -6.9585750266786322e-07  -6.0895559895839113e-04  -1.9743741345754323e-05  -4.9401970154586963e-04  1.1273301609441322e-05  1.2583289906248060e-05  2.1099339386236259e-07  4.0486754374044622e-04  -6.0736348097357213e-08  -9.9809306916852989e-06  -2.8480990635471405e-07  -4.9413294163549158e-04  -1.1322046883787533e-05
7.1599999999999696e+01  -5.7792102535515217e-03  9.5372626401063392e-05  1.7708311282254707e-03  1.4992924389647091e-05  7.4958333307263893e-03  -1.3864636176408362e-07  1.5806879024729214e-03  -1.6583812813203283e-05  -5.8251020705265303e-03  -9.5521032081550167e-05  -1.2723851855866296e-03  2.2090317926046590e-05  7.6937946608798724e-05  -3.8004056411372050e-06  1.1084528915113238e-03  -1.8788504828803081e-07  3.3282529345479882e-05  3.1018421317026106e-06  -1.2645449962881709e-03  -2.2193657255605642e-05  -5.9811896873049884e-04  1.9657584395853478e-05  2.6993237037288619e-05  4.9980512834845224e-07  4.9644271990489214e-04  -1.3097328873115193e-07  -1.2238347742941471e-05  -6.4690347369412307e-07  -5.9872975326528358e-04  -1.9753684373159579e-05  -4.9055440998109739e-04  1.1579036751866926e-05  1.2920545369335990e-05  2.7569343941533190e-07  4.0211736772292086e-04  -6.5623637769272040e-08  -1.0251678844636556e-05  -3.3772650183963116e-07  -4.9078309472469657e-04  -1.1632257277081705e-05
7.1999999999999901e+01  -5.9050649780002960e-03  1.0075590167363163e-04  1.8637429662879345e-03  1.7864097128370878e-05  7.7399402890059926e-03  -2.6361238622803158e-07  1.6628829525736121e-03  -1.9678072183151278e-05  -5.9572231908165841e-03  -1.0102400675997932e-04  -1.2966080738419559e-03  2.1241811816749026e-05  7.8064828192134301e-05  -3.9355794637768442e-06  1.1311538456338860e-03  -1.8147792444986454e-07  3.6106186440811855e-05  3.1975622762298556e-06  -1.2885334673877836e-03  -2.1340021181115207e-05  -5.8730084069523718e-04  1.9599591808600369e-05  2.7099552252923614e-05  3.8624314393229477e-07  4.8773176265035740e-04  -1.3807795838643015e-07  -1.2022984427960252e-05  -5.6122133624842028e-07  -5.8773955083130677e-04  -1.9700948289745740e-05  -4.8706527710473793e-04  1.1900291353432097e-05  1.3278234832454523e-05  3.2788194205191550e-07  3.9933816019724745e-04  -6.6350222558072270e-08  -1.0537272345718854e-05  -3.8232832144733521e-07  -4.8739122770852028e-04  -1.1954875330306452e-05
7.2400000000000105e+01  -6.0206550422079895e-03  1.0635144194641299e-04  1.9605365636814753e-03  2.0479643601981488e-05  7.9813288204672109e-03  -4.0702393988392059e-07  1.7483961920979924e-03  -2.2537869274591441e-05  -6.0787063977228604e-03  -1.0674817485379997e-04  -1.3256693586477684e-03  2.0393922292371042e-05  7.9298357347912354e-05  -4.0132480534025817e-06  1.1580299872761721e-03  -1.6954627066254298e-07  3.9051047925141966e-05  3.2429953243033476e-06  -1.3174581276402960e-03  -2.0482903061417924e-05  -5.7595832618910253e-04  1.9483937881722246e-05  2.7157827186223094e-05  2.3650790812693559e-07  4.7856256036503105e-04  -1.4311290340780527e-07  -1.1742642307806996e-05  -4.3669417603029480e-07  -5.7614903575721867e-04  -1.9589719224977384e-05  -4.8354883943177180e-04  1.2234396915777316e-05  1.3651354488755709e-05  3.7027140503976895e-07  3.9652361995084671e-04  -6.3285641710046527e-08  -1.0837947333209949e-05  -4.2186480793419567e-07  -4.8396088496337772e-04  -1.2287173588433066e-05
7.2800000000000296e+01  -6.1240351459102074e-03  1.1200260354890851e-04  2.0606792729710543e-03  2.2685642888723611e-05  8.2176627901958364e-03  -5.6177289699425596e-07  1.8369535480681238e-03  -2.4999039296845050e-05  -6.1873422253978889e-03  -1.1252971901616714e-04  -1.3597708864538417e-03  1.9557481588059273e-05  8.0664322172556508e-05  -4.0223532992025916e-06  1.1892696778055506e-03  -1.5113195933133485e-07  4.2121551976054123e-05  3.2280077064532042e-06  -1.3515427395597802e-03  -1.9632364337986289e-05  -5.6423081242018515e-04  1.9318143978813156e-05  2.7175585416683659e-05  5.4839046490887000e-08  4.6905227262534940e-04  -1.4600317338253681e-07  -1.1409343287770076e-05  -2.7820648152504020e-07  -5.6410711148808547e-04  -1.9426786859340909e-05  -4.7988354148014356e-04  1.2575408337852940e-05  1.4029575507369266e-05  4.0755861657648410e-07  3.9357692001588121e-04  -5.7909195035444708e-08  -1.1147614473641601e-05  -4.6051670581310066e-07  -4.8037853853859859e-04  -1.2623937295653830e-05
7.3200000000000500e+01  -6.2136688395549979e-03  1.1754329892362409e-04  2.1635114303700503e-03  2.4338536917655433e-05  8.4467500542720949e-03  -7.1913980367778400e-07  1.9281716769750685e-03  -2.6905129653231464e-05  -6.2813494144520416e-03  -1.1819452610899722e-04  -1.3987962604814549e-03  1.8750392950023366e-05  8.2189988759347573e-05  -3.9528208752701426e-06  1.2247916506595085e-03  -1.2657148236025770e-07  4.5311023276223424e-05  3.1416635312349041e-06  -1.3906895875863607e-03  -1.8806523956777707e-05  -5.5229837858660163e-04  1.9109271678228392e-05  2.7152399785994213e-05  -1.5178778743786418e-07  4.5936021208654333e-04  -1.4753179671363198e-07  -1.1036666183885448e-05  -9.4705407667316849e-08  -5.5181087396766746e-04  -1.9219163985394342e-05  -4.7585507752258716e-04  1.2914358329395709e-05  1.4402632236727759e-05  4.4485365103043747e-07  3.9032948926360123e-04  -5.2498186074027527e-08  -1.1452174584830130e-05  -5.0178285459070888e-07  -4.7643651504165245e-04  -1.2957817935624253e-05
7.3600000000000705e+01  -6.2885952001407799e-03  1.2281094081804367e-04  2.2682640722510609e-03  2.5325181037897718e-05  8.6667174082780477e-03  -8.6864194069104645e-07  2.0215579634025411e-03  -2.8128301116423875e-05  -6.3595763920601747e-03  -1.2357123515556250e-04  -1.4428440511431032e-03  1.7999582997622493e-05  8.3908311847742179e-05  -3.7929655498251259e-06  1.2646985582299352e-03  -9.7344553899611084e-08  4.8601962991058278e-05  2.9701347401729332e-06  -1.4350185716034535e-03  -1.8033481254624193e-05  -5.4050623581756009e-04  1.8859814128915098e-05  2.7083585375824526e-05  -3.7456554665849881e-07  4.4978155719635748e-04  -1.4906294724779489e-07  -1.0630198258151973e-05  1.0249771750252427e-07  -5.3962584705578983e-04  -1.8970407082060423e-05  -4.7120781575174693e-04  1.3240318153962423e-05  1.4763729687744712e-05  4.8636629667813144e-07  3.8657824764071658e-04  -4.9439825956649643e-08  -1.1734065942310838e-05  -5.4776146472012681e-07  -4.7188352667622415e-04  -1.3280040142228158e-05
7.4000000000000995e+01  -6.3485912082173711e-03  1.2766274464596206e-04  2.3741020877082117e-03  2.5572800637688958e-05  8.8761848590433942e-03  -9.9886345264017719e-07  2.1165290357937827e-03  -2.8579335502643745e-05  -6.4216768569158884e-03  -1.2850825659079087e-04  -1.4923423544505178e-03  1.7338539892921689e-05  8.5863935634951786e-05  -3.5264414056379691e-06  1.3093845044824508e-03  -6.5412424516725786e-08  5.1975277358580564e-05  2.6950779666477123e-06  -1.4849889942344721e-03  -1.7348364835711582e-05  -5.2922775518328814e-04  1.8565682032347858e-05  2.6965833541665666e-05  -6.0287487151612649e-07  4.4062696163813691e-04  -1.5199881982579869e-07  -1.0182584307312988e-05  3.0063726932632592e-07  -5.2794743587300139e-04  -1.8678067817891327e-05  -4.6571063551991543e-04  1.3542592284212215e-05  1.5108487130575347e-05  5.3404972490899727e-07  3.8213602617490950e-04  -5.0392572031610498e-08  -1.1980770325637327e-05  -5.9870598777285541e-07  -4.6648943282154569e-04  -1.3581784716927139e-05
7.4400000000001199e+01  -6.3941543744880083e-03  1.3198849897038000e-04  2.4801659480807349e-03  2.5051500811696727e-05  9.0743077997931486e-03  -1.0983711370722487e-06  2.2124319425428120e-03  -2.8211829271546029e-05  -6.4680926162721869e-03  -1.3288731139967399e-04  -1.5476784419053043e-03  1.6801787962619744e-05  8.8108347858141005e-05  -3.1328646064518305e-06  1.3592233821637834e-03  -3.2196477782585826e-08  5.5415365712993929e-05  2.2954437076057907e-06  -1.5410272447192474e-03  -1.6786926776258111e-05  -5.1851242717525540e-04  1.8217107096993490e-05  2.6795287511976714e-05  -8.2666585642494074e-07  4.3193688080050150e-04  -1.5712022035014222e-07  -9.6786218756690948e-06  4.8840365422170312e-07  -5.1684444499459209e-04  -1.8333403193439169e-05  -4.5921558690168390e-04  1.3813804822785242e-05  1.5432127387486340e-05  5.8594749883289417e-07  3.7687988588512426e-04  -5.5685126928727971e-08  -1.2190742513387842e-05  -6.5201070068780073e-07  -4.6010166511307695e-04  -1.3856456066230380e-05
7.4800000000001404e+01  -6.4264750136531481e-03  1.3571586338547258e-04  2.5856104633541115e-03  2.3777654691385272e-05  9.2608225848001650e-03  -1.1571325399452217e-06  2.3085760855156732e-03  -2.7028108102382656e-05  -6.5000311951692062e-03  -1.3662977628816020e-04  -1.6089082541229389e-03  1.6421968722662034e-05  9.0690075054476347e-05  -2.5917124976532666e-06  1.4143078319894390e-03  1.9714950004434024e-09  5.8906969831623289e-05  1.7516314305601426e-06  -1.6032273358801046e-03  -1.6382118872151600e-05  -5.0806377714840629e-04  1.7802001352321416e-05  2.6562035962000814e-05  -1.0424973029935704e-06  4.2347120532011066e-04  -1.6423870459420643e-07  -9.1045509279677424e-06  6.6230793606391698e-07  -5.0602682798126951e-04  -1.7924012770682254e-05  -4.5169008178018574e-04  1.4052397307341986e-05  1.5729349341558785e-05  6.3558832067085347e-07  3.7078032566042855e-04  -6.4259306527811447e-08  -1.2371845037636154e-05  -7.0161022699494228e-07  -4.5267636803791584e-04  -1.4101874306460197e-05
7.5200000000001594e+01  -6.4474023177394819e-03  1.3881406996570024e-04  2.6896554781270943e-03  2.1807958140644824e-05  9.4360782220489978e-03  -1.1682823655328038e-06  2.4042758354067741e-03  -2.5075296268595702e-05  -6.5194203226639387e-03  -1.3970156808283709e-04  -1.6758334294318311e-03  1.6231723521577870e-05  9.3653964348163856e-05  -1.8867685592985900e-06  1.4744991360142248e-03  3.7499075724168427e-08  6.2431735231843912e-05  1.0492194734107316e-06  -1.6714194688113833e-03  -1.6166235784680233e-05  -4.9774033683004692e-04  1.7309845233868359e-05  2.6252360472170409e-05  -1.2569760431716318e-06  4.1512029163431354e-04  -1.7223170624038832e-07  -8.4512686597540887e-06  8.3014411992378086e-07  -4.9534097245264243e-04  -1.7438023377099828e-05  -4.4322072600369708e-04  1.4262948475169425e-05  1.5997573679031044e-05  6.7392953468417202e-07  3.6390709092146834e-04  -7.4195761238391154e-08  -1.2534611116372407e-05  -7.3937525483936379e-07  -4.4428502201440982e-04  -1.4320958951249325e-05
7.5600000000001799e+01  -6.4592799121738062e-03  1.4129210333988285e-04  2.7916240370965484e-03  1.9229909263581110e-05  9.6009604139205007e-03  -1.1291564382920306e-06  2.4988887711699516e-03  -2.2437681215897902e-05  -6.5287272309612039e-03  -1.4211188824834347e-04  -1.7481957223206496e-03  1.6264030030558781e-05  9.7044552483806820e-05  -1.0060767040375028e-06  1.5395991546675876e-03  7.4780396586421098e-08  6.5970150392032642e-05  1.7760655223421017e-07  -1.7453667469049016e-03  -1.6171896141455298e-05  -4.8792298823803633e-04  1.6733576753371327e-05  2.5858669776135136e-05  -1.4807974524277253e-06  4.0720017143173570e-04  -1.7936003200485249e-07  -7.7098873615901896e-06  1.0047879622859904e-06  -4.8514731390062875e-04  -1.6866888864531160e-05  -4.3399157453457118e-04  1.4454144384818064e-05  1.6240103012655074e-05  6.9310813203665857e-07  3.5641139786099746e-04  -8.3494143194668655e-08  -1.2686939603148671e-05  -7.5829109603840532e-07  -4.3509849817593114e-04  -1.4520408413926293e-05
7.6000000000002004e+01  -6.4648029784901574e-03  1.4319169046452527e-04  2.8909647756985464e-03  1.6154214724683700e-05  9.7568200368723899e-03  -1.0416227607652306e-06  2.5918480253365253e-03  -1.9229714473803059e-05  -6.5308054651701123e-03  -1.4390617820044649e-04  -1.8256952148837746e-03  1.6549915817181626e-05  1.0090677387866354e-04  6.0119999410018667e-08  1.6093819622300374e-03  1.1342957881093358e-07  6.9505113575144426e-05  -8.7298381768158274e-07  -1.8247893886223889e-03  -1.6430436511830151e-05  -4.7915597049895625e-04  1.6070232267366158e-05  2.5386835047613865e-05  -1.7198076696976843e-06  4.0015341112623927e-04  -1.8376394536164539e-07  -6.8690666854431560e-06  1.1948595629001430e-06  -4.7597604408295606e-04  -1.6206653259449624e-05  -4.2423112844232661e-04  1.4635268112164079e-05  1.6465572430979664e-05  6.8993789777379953e-07  3.4847989610001262e-04  -9.0659912588952640e-08  -1.2832920834846971e-05  -7.5588439514606509e-07  -4.2534017176453881e-04  -1.4707815528209993e-05
7.6400000000002194e+01  -6.4669082865468526e-03  1.4458015403192545e-04  2.9872658455965145e-03  1.2703987383059656e-05  9.9054012557150718e-03  -9.1162969106242729e-07  2.6826851787175201e-03  -1.5584127641937478e-05  -6.5287686260670332e-03  -1.4515835767867004e-04  -1.9078491207659887e-03  1.7117203994776812e-05  1.0528274269191131e-04  1.3197232755581414e-06  1.6834781462882664e-03  1.5178347957890710e-07  7.3019981328374477e-05  -2.1123108322046309e-06  -1.9092242589753105e-03  -1.6971024936372246e-05  -4.7154538126748885e-04  1.5322114387640253e-05  2.4851461708660192e-05  -1.9738036549510625e-06  3.9405837695137894e-04  -1.8397395290864857e-07  -5.9227117775640688e-06  1.4027539785040558e-06  -4.6792760048684128e-04  -1.5458994801940565e-05  -4.1414052699489473e-04  1.4812504185468333e-05  1.6683202319980454e-05  6.6729114633358965e-07  3.4027432051447331e-04  -9.4971981422604929e-08  -1.2973603351957394e-05  -7.3590827973053424e-07  -4.1521730401818661e-04  -1.4888413244406971e-05
